115.69,Info,Arena,5,Exit_Zone,4
115.69,Info,Arena,5,Enter_Zone,1
116.22,Info,Arena,7,Exit_Zone,2
116.22,Info,Arena,7,Enter_Zone,4
116.531,Info,Arena,7,Exit_Zone,4
116.531,Info,Arena,7,Enter_Zone,1
116.841,Info,Arena,3,Exit_Zone,2
116.841,Info,Arena,3,Enter_Zone,4
117.167,Info,Arena,8,Exit_Zone,1
117.167,Info,Arena,8,Enter_Zone,4
117.435,Info,Arena,3,Exit_Zone,4
117.435,Info,Arena,3,Enter_Zone,1
117.557,Info,Arena,8,Exit_Zone,4
117.557,Info,Arena,8,Enter_Zone,3
117.922,Info,Arena,1,Exit_Zone,3
117.922,Info,Arena,1,Enter_Zone,4
118.136,Info,Arena,6,Exit_Zone,1
118.136,Info,Arena,6,Enter_Zone,4
118.417,Info,Arena,1,Exit_Zone,4
118.417,Info,Arena,1,Enter_Zone,2
118.533,Info,Arena,6,Exit_Zone,4
118.533,Info,Arena,6,Enter_Zone,3
118.567,Info,Arena,6,Exit_Zone,3
118.567,Info,Arena,6,Enter_Zone,4
118.641,Info,Arena,6,Exit_Zone,4
118.641,Info,Arena,6,Enter_Zone,1
119.224,Info,Arena,7,Exit_Zone,1
119.224,Info,Arena,7,Enter_Zone,4
119.696,Info,Arena,3,Exit_Zone,1
119.696,Info,Arena,3,Enter_Zone,4
119.731,Info,Arena,7,Exit_Zone,4
119.731,Info,Arena,7,Enter_Zone,2
